Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/events,298,35,310.0,5959.39937818824,106.98620000039227,30642.787399992812,186.8255033557047,9.410042610939534,1.1052063469224285,310,460,700,890,30000,30000,31000,31000,31000,31000,31000
,Aggregated,298,35,310.0,5959.39937818824,106.98620000039227,30642.787399992812,186.8255033557047,9.410042610939534,1.1052063469224285,310,460,700,890,30000,30000,31000,31000,31000,31000,31000
