Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/events,10497,161,300.0,1246.0266363723283,2.2514000011142343,32974.377899983665,205.9511288939697,177.62541918325084,2.7243681517103346,300,370,420,460,570,870,30000,30000,31000,33000,33000
,Aggregated,10497,161,300.0,1246.0266363723283,2.2514000011142343,32974.377899983665,205.9511288939697,177.62541918325084,2.7243681517103346,300,370,420,460,570,870,30000,30000,31000,33000,33000
