Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/events,2318,0,58,57.72928628180129,20.4459999804385,81.34710000013001,208.88955996548748,165.25552790927395,0.0,58,60,62,63,67,70,73,75,79,81,81
,Aggregated,2318,0,58,57.72928628180129,20.4459999804385,81.34710000013001,208.88955996548748,165.25552790927395,0.0,58,60,62,63,67,70,73,75,79,81,81
